% This Database was generated from ergane (http://www.travlang.com).   Copyright (C) 1999 Horst Eyermann (Horst@freedict.de)    This program is free software /  you can redistribute it and/or modify   it under the terms of the GNU General Public License as published by   the Free Software Foundation /  either version 2 of the License, or   (at your option) any later version.    This program is distributed in the hope that it will be useful,   but WITHOUT ANY WARRANTY /  without even the implied warranty of   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the   GNU General Public License for more details. 


ADN ; DNA
Corée du Nord ; North Korea

Corée du Sud ; South Korea

Costaricien ; Costa Rican

Costa Rica ; Costa Rica

Courtrai ; Courtrai

Cracovie ; Cracow

Crimée ; Crimea

Croate ; Croat

Croatie ; Croatia

Croix du Sud ; Southern Cross

Crète ; Crete

Cuba ; Cuba

Cubain ; Cuban

Cupidon ; Cupid

Curaçao ; Curaçao

Cyclades ; Cyclades

Cypriote ; Cyprian woman ; Cypriot

Cérès ; Ceres

César ; Caesar

Côte d'Ivoire ; Ivory Coast

Dakar ; Dakar

Dalmate ; Dalmatian

Dalmatie ; Dalmatia

Damas ; Damascus

Damoclès ; Damocles

Danemark ; Denmark

Danois ; Dane

Danube ; Danube

Dardanelles ; Dardanelles /  Hellespont

Delphes ; Delphi

Deutéronome ; Deuteronomy

Diane ; Diana

Dieu ; God

Diogène ; Diogenes

Djibouti ; Djibouti /  Jibuti

Dominicain ; Dominican

Dominique ; Dominica

Douvres ; Dover

Dunkerque ; Dunkirk

Ecossais ; Scot /  Scotsman

Ecossaise ; Scotswoman

Ecosse ; Scotland

Ecriture sainte ; Bible

Eden ; Eden

Edimbourg ; Edinburgh

Egypte ; Egypt

Egyptien ; Egyptian

Elbe ; Elbe ; Elba

Empire romain ; Roman Empire

Enée ; Aeneas

Eole ; Aeolus

Epiphanie ; Epiphany /  Twelfth‐night

Erythrée ; Eritrea

Escaut ; Scheldt

Espagne ; Spain

Espagnol ; Spaniard

Espagnole ; Spanish woman

Estonie ; Estonia

Estonien ; Estonian

Estonienne ; Estonian woman

Etats‐Unis ; United States of America /  USA

Ethiopie ; Abyssinia /  Ethiopia

Ethiopien ; Ethiopian

Etrusque ; Etrurian /  Etruscan

Euphrate ; Euphrates

Europe ; Europa ; Europe ; Europa

Européen ; European

Extrême‐Orient ; Far East

Finlandaise ; Finnish /  Finnish woman

Finlande ; Finland

Finnois ; Finn

Finnoise ; Finnish /  Finnish woman

Flamand ; Flemming

Flandre ; Flanders

Flandre Zélandaise ; Dutch Flanders

Flessingue ; Flushing

Fleuve Churchill ; Churchill /  Churchill River

Fleuve Columbia ; Columbia /  Columbia River

Fleuve Fraser ; Fraser /  Fraser River

Floride ; Florida

Fortune ; Fortune

Forêt‐Noire ; Black Forest

France ; France

Francfort ; Frankfort

Français ; Frenchman

Française ; Frenchwoman

Fraser ; Fraser /  Fraser River

Frise ; Friesland

Frison ; Frisian

Gabon ; Gabon

Galice ; Galicia

Galicie ; Galicia

Galles ; Wales

Gallois ; Welshman

Gand ; Ghent

Gange ; Ganges

Gaule ; Gaul

Gaulois ; Gaul

Genèse ; Genesis

Genève ; Geneva

Germain ; German /  Teuton

Ghana ; Ghana

Ghanéen ; Ghanaian

Golfe d'Aden ; Gulf of Aden

Goth ; Goth

Grammont ; Grammont

Grand‐Sault ; Grand Falls

Grande‐Bretagne ; Britain /  Great Britain

Grand Lac Salé ; Great Salt Lake

Grec ; Greek

Grecque ; Greek woman

Grenade ; Grenada

Groenland ; Greenland

Groenlandais ; Greenlander

Groënland ; Greenland

Groënlandais ; Greenlander

Grèce ; Greece

Guadeloupe ; Guadeloupe

Guatemala ; Guatemala

Guatémaltèque ; Guatemalan

Gueldre ; Guelderland /  Guelders

Guinée‐Bissau ; Guinea Bissau

Guinée ; Guinea

Guinée Equatoriale ; Equatorial Guinea

Guyenne ; Aquitaine

Gédéon ; Gideon

Géorgie ; Georgia

Géorgien ; Georgian

Gênes ; Genoa

Hambourg ; Hamburg

Hannibal ; Hannibal

Hanovre ; Hanover

Hawaii ; Hawaii

Haïti ; Haiti

Hellade ; Hellas

Helvétie ; Helvetia

Helvète ; Helvetian

Hercule ; Heracles /  Hercules

Hermès ; Hermes

Himalaya ; Himalayas

Hippocrate ; Hippocrates

Hollandais ; Dutchman /  Hollander

Hollande ; Holland

Hollande septentrionale ; North Holland

Homère ; Homer

Honduras ; Honduras

Hondurien ; Honduran

Hondurienne ; Honduran woman

Hongrie ; Hungary

Hongrois ; Hungarian

Hongroise ; Hungarian /  Hungarian woman

Hong Kong ; Hongkong

Hébreu ; Hebrew /  Jew

Hébrides ; Hebrides /  Western Islands

Hélène ; Helen

Ile‐du‐Prince‐Edouard ; Prince Edward Island

Iles de la Reine‐Charlotte ; Queen Charlotte Islands

Iles de la Reine‐Elisabeth ; Queen Elizabeth Islands

Iles normandes ; Channel Islands

Ile Kénosha ; Kenosha Island

Ile Remprouix ; Remprouix Island

Ile de Baffin ; Baffin Island

Ile de Sable ; Sable Island

Ile de Vancouver ; Vancouver Island

Ile du Cap‐Breton ; Cape Breton Island

Ile du Diable ; Devil's Island

Ile d'Anticosti ; Anticosti Island

Ile d'Ellesmere ; Ellesmere Island

Iliade ; Iliad

Inde ; India

Indien ; Indian ; Indian /  American Indian

Indienne ; Indian /  Indian woman

Indochine ; Indo‐China

Indonésie ; Indonesia

Indonésien ; Indonesian

Indonésienne ; Indonesian woman

Irak ; Iraq

Irakien ; Iraqi /  Iraquian

Iran ; Iran /  Persia

Iranien ; Iranian /  Persian

Iranienne ; Iranian woman /  Persian woman

Irlandais ; Irishman

Irlandaise ; Iriswoman

Irlande ; Ireland

Irlande du Nord ; Northern Ireland

Islandais ; Icelander

Islande ; Iceland

Israël ; Israel

Italie ; Italy

Italien ; Italian

Italienne ; Italian woman

Jacob ; Jacob

Jacques ; Jacob

Jamaïque ; Jamaica

Japon ; Japan

Japonais ; Japanese

Japonaise ; Japanese woman

Java ; Java

Javanais ; Javanese

Javanaise ; Javanese woman

Jordanie ; Jordan

Jordanien ; Jordanian

Joseph ; Joseph

Josué ; Joshua

Jourdain ; Jordan

Juif ; Jew

Junon ; Juno

Jupiter ; Jupiter ; Jove /  Jupiter

Jéricho ; Jericho

Jérusalem ; Jerusalem

Jésus‐Christ ; Jesus Christ

Kenya ; Kenya

Kenyan ; Kenyan

Khmer ; Cambodian

Kremlin ; Kremlin

Kurde ; Kurd

Kurdistan ; Kurdistan

Lac Léman ; Lake of Geneva

Laos ; Laos

Laotien ; Laotian

Lapon ; Laplander /  Lapp

Laponie ; Lapland

Laponne ; Lappish woman /  Lapponian woman

Laurentides ; Laurentian Mountains

La Havane ; Havana

La Haye ; The Hague

Letton ; Latvian /  Lett

Lettonie ; Latvia

Lettonne ; Latvian woman

Leyde ; Leyden

Le Caire ; Cairo

Liban ; Lebanon

Libanais ; Lebanese

Libye ; Libya

Libyen ; Libyan

Libéria ; Liberia

Libérien ; Liberian

Lierre ; Lyra

Lisbonne ; Lisbon

Lituanie ; Lithuania

Lituanien ; Lithuanian

Lituanienne ; Lithuanian woman

Livonie ; Livonia

Livonien ; Livonian

Livourne ; Leghorn

Liége ; Liège

Liège ; Liège

Londonien ; Londoner

Londres ; London

Lorraine ; Lorraine /  Lothringen

Louvain ; Louvain

Lucerne ; Lucerne

Luxembourg ; Luxemburg

Luxemburgeois ; Luxemburger

Lyon ; Lyons

Machiavel ; Machiavelli

Mackenzie ; Mackenzie /  Mackenzie River

Macédoine ; Macedonia

Macédonien ; Macedonian

Madagascar ; Madagascar

Madone ; Madonna

Madrid ; Madrid

Mahomet ; Mohammed /  Muhammad

Majorque ; Majorca

Malais ; Malay

Malaisie ; Malaysia

Malaisien ; Malaysian

Malawi ; Malawi

Mali ; Mali

Malines ; Malines /  Mechlin

Maltais ; Maltese

Malte ; Malta

Mammon ; Mammon

Mandchourie ; Manchuria

Manille ; Manila

Manitoba ; Manitoba

Marc‐en‐Barœul ; Marcus

Marcq ; Marcus

Mariannes ; Mariana Islands

Marie ; Mary

Maroc ; Morocco

Marocain ; Moroccan

Maroni ; Maroni

Mars ; Mars

Marseille ; Marseilles

Mathusalem ; Methuselah

Maure ; Moor

Mauritanie ; Mauritania

Mauritanien ; Mauretanian

Mayence ; Mayence

Mecque ; Mecca

Mercure ; Mercury

Messie ; Messiah

Messine ; Messina

Meuse ; Meuse

Mexicain ; Mexican

Mexicaine ; Mexican woman

Mexico ; Mexico City

Mexique ; Mexico

Milan ; Milan

Minerve ; Minerva

Moldave ; Moldavian

Moldavie ; Moldavia

Moluques ; Moluccas

Moluquois ; Moluccan

Monaco ; Monaco

Mongolie ; Mongolia

Monténégrin ; Montenegrin

Monténégro ; Montenegro

Monégasque ; Monacan

Moravie ; Moravia

More ; Moor

Morphée ; Morpheus

Moscou ; Moscow

Moscovite ; Muscovite

Moselle ; Moselle

Moïse ; Moses

Munich ; Munich

Mycènes ; Mycenae

Méditerranée ; Mediterranean

Méduse ; Medusa

Mélanésie ; Melanesia

Mélanésien ; Melanesian

Méphistophélès ; Mephistopheles

Mésopotamie ; Mesopotamia

Nabuchodonosor ; Nebuchadnezzar

Namur ; Namur

Nankin ; Nanking

Naples ; Naples

Napolitain ; Neapolitan

Nemrod ; Nimrod

Neptune ; Neptune

Nicaragua ; Nicaragua

Nicaraguayen ; Nicaraguan

Niger ; Niger

Nigeria ; Nigeria

Nigérian ; Nigerian

Nigérien ; Nigerien

Nil ; Nile

Nimègue ; Nimwegen

Noir ; Negro

Nord‐Américain ; North American

Nordafricain ; North African

Normand ; Norman ; Northman /  Norseman

Norvégien ; Norwegian

Norvège ; Norway

Nouveau‐Brunswick ; New Brunswick

Nouvelle‐Ecosse ; Nova Scotia ; Nova Skotia

Nouvelle‐Galles du Sud ; New South Wales

Nouvelle‐Guinée ; New Guinea

Nouvelle‐Orléans ; New Orleans

Nouvelle‐Zélande ; New Zealand

Noé ; Noah

Néerlandais ; Dutchman

Néerlandaise ; Dutch woman

Némésis ; Nemesis

Néo‐Zélandais ; New Zealander

Népal ; Nepal

Népalais ; Nepalese

Océanie ; Oceania /  Oceanica

Olympe ; Olympus

Ontario ; Ontario

Orange ; Orange

Orcades ; Orkney Islands /  Orkneys

Orphée ; Orpheus

Ostende ; Ostend /  Ostende

Ostrogoth ; Ostrogoth

Oural ; Ural

Pacifique ; Pacific /  Pacific Ocean

Pakistan ; Pakistan

Pakistanais ; Pakistani

Pakistanaise ; Pakistani /  Pakistani woman

Palestine ; Palestinian

Palestinien ; Palestine ; Palestinian

Pan ; Pan

Panam ; Paris

Panama ; Panama

Paname ; Paris

Panaméen ; Panamanian

Panaméenne ; Panamanian woman

Pandore ; Pandora

Papou ; Papuan

Paris ; Paris

Parisien ; Parisian

Parthe ; Parthian

Passe Lower ; Lower Narrows

Pays‐Bas ; Holland /  the Netherlands

Pentateuque ; Pentateuch

Pentecôte ; Pentecost /  Whitsunday

Persan ; Persian

Persane ; Persian woman

Perse ; Iran /  Persia ; Persia

Petit Poucet ; Tom Thumb

Philippin ; Filipino

Philippine ; Philippine woman

Philippines ; Philippine Islands /  Philippines

Platon ; Plato

Pluton ; Pluto

Pologne ; Poland

Polonais ; Pole

Polonaise ; Polish woman

Polynésie ; Polynesia

Polynésien ; Polynesian

Poméranie ; Pomerania

Pont‐Euxine ; Black Sea /  Euxine Sea

Porto ; Oporto

Portugais ; Portuguese

Portugaise ; Portuguese woman

Portugal ; Portugal

Prague ; Prague

Proche‐Orient ; Middle East

Protée ; Proteus

Prusse ; Prussia

Prussien ; Prussian

Ptolémée ; Ptolemy

Pégase ; Pegasus

Pékin ; Peiping /  Peking

Péninsule Ministikawatin ; Ministikawatin Peninsula

Pénélope ; Penelope

Pérou ; Peru

Pâques ; Easter

Pâris ; Paris

Québec ; Quebec

Rameaux ; Palm Sunday

Ratisbonne ; Ratisbon

Reims ; Rheims

Rhin ; Rhine

Rhodésie ; Rhodesia

Rhénanie ; Rhineland

Rhône ; Rhone

Richard ; Richard

Rivière Churchill ; Churchill /  Churchill River

Romain ; Roman

Rome ; Rome

Roumain ; Romanian

Roumaine ; Romanian woman

Roumanie ; Romania

Rubicon ; Rubicon

Russe ; Russian woman ; Russian

Russie ; Russia

Républic Dominicaine ; Dominica

Sagittaire ; Sagittarius

Sahara ; Sahara

Saint‐Marin ; San Marino

Saint‐Nicolas ; Saint Nicholas /  St. Nicholas

Saint‐Pétersbourg ; Saint Petersburg

Saint‐Sylvestre ; New Year's Eve

Sainte‐Hélène ; Saint Helena

Sainte‐Vierge ; Madonna

Samarie ; Samaria

Sardaigne ; Sardinia ; Sardina

Sarde ; Sardinian

Satan ; Lucifer /  Satan

Saturne ; Saturn

Saxe ; Saxe /  Saxony

Saxon ; Saxon

Scandinave ; Scandinavian woman ; Scandinavian

Scandinavie ; Scandinavia

Scylla ; Scylla

Seine ; Sein

Serbe ; Serb

Serbie ; Serbia

Seychelles ; Seychelles

Siam ; Siam /  Thailand

Sibérie ; Siberia

Sicile ; Sicily

Sicilien ; Sicilian

Sicilienne ; Sicilian woman

Singapour ; Singapore

Singapourien ; Singaporean

Slave ; Slav

Slavon ; Slavonian

Slovaque ; Slovak woman ; Slovak

Slovaquie ; Slovakia

Slovénie ; Slovenia

Slovène ; Slovene /  Slovenian

Somalie ; Somalia

Somalien ; Somali /  Somalian

Sophie ; Sofia

Soudan ; Sudan

Soudanais ; Sudanese

Sparte ; Sparta

Spitzberg ; Spitsbergen

Strasbourg ; Strasbourg

Styrie ; Styria

Styx ; Styx

Sud‐Africain ; South African

Sud‐Est asiatique ; Sout‐East Asia

Suisse ; Switzerland ; Swiss

Surinam ; Surinam

Surinamien ; Surinamer /  Surinamese

Surinamienne ; Surinamese woman

Suédois ; Swede

Suède ; Sweden

Syrie ; Syria

Syrien ; Syrian

Sémite ; Semite

Sénégal ; Senegal

Sénégalais ; Senegalese

Séville ; Seville

Tage ; Tagus

Talmud ; Talmud

Tamise ; Thames

Tanger ; Tangier

Tantale ; Tantalus

Tanzanie ; Tanzania

Tanzanien ; Tanzanian

Tatare ; Tartar

Tchad ; Chad

Tchécoslovaque ; Czechoslovak /  Czechoslovakian

Tchécoslovaquie ; Czechoslovakia

Tchèque ; Czech woman ; Czech

Terre‐Neuve ; Newfoundland

Texan ; Texan

Texane ; Texan woman

Texas ; Texas

Thaï ; Thai

Thaïlandais ; Thai

Thaïlandaise ; Thai woman

Thaïlande ; Siam /  Thailand

Tibet ; Tibet

Tibre ; Tiber

Tibétain ; Tibetan

Tibère ; Tiberius

Tigre ; Tigris

Togo ; Togo /  Togoland

Tokyo ; Tokyo

Toussaint ; All Hallows /  All Saints' Day

Transylvanie ; Transylvania

Troie ; Troy

Troyen ; Trojan

Trèves ; Treves

Tunesie ; Tunisia

Tunis ; Tunis

Turc ; Turk

Turin ; Turin

Turkménistan ; Turkmenistan

Turque ; Turkish lady /  Turkish woman

Turquie ; Turkey

‐able ; ‐able /  ‐ible

‐al ; ‐ish /  ‐like

‐er ; ‐er

‐iste ; ‐er /  ‐ist /  ‐or

‐ième ; ‐th

‐té ; ‐ness /  ‐ship /  ‐ity

Ukraine ; Ukraine /  the Ukraine

Ukrainien ; Ukrainian

Ukrainienne ; Ukrainian woman

Ulysse ; Ulysses

Union Européenne ; European Union

Uruguay ; Uruguay

Valachie ; Walachia /  Wallachia

Valence ; Valencia

Varsovie ; Warsaw

Vatican ; Vatican /  the Vatican

Venise ; Venice

Verseau ; Aquarius

Victoria ; Victoria

Vienne ; Vienna

Viennois ; Viennese

Viennoise ; Viennese woman

Vietnamien ; Vietnamese

Vietnamienne ; Vietnamese woman

Viking ; viking

Visigoth ; Visigoth

Vistule ; Vistula

Viêt‐nam ; Vietnam

Volga ; Volga

Volta Noire ; Black Volta

Vosges ; Vosges

Vulcain ; Vulcan

Vulgate ; Vulgate

Vénus ; Venus ; Evening Star /  Venus

WC ; toilet

Wallonie ; Wallonia

Westphalie ; Westphalia

Wisigoth ; Visigoth

Yougoslave ; Yugoslav woman ; Yugoslav /  Yugoslavian

Yougoslavie ; Yugoslavia

Ypres ; Ypres

Yukon ; Yukon /  Yukon River

Yémen ; Yemen

Yéménite ; Yemeni ; Yemeni woman ; Yemeni

Zambie ; Zambia

Zambien ; Zambian

Zanzibar ; Zanzibar

Zaïre ; Zaïre

Zeus ; Zeus

Zimbabwe ; Zimbabwe

Zoulou ; Zulu

Zélandais ; Zealander

Zélande ; Zealand

à ; ... to /  from ... to /  of ... to

abaissement ; abasement ; decay ; decrease /  lowering ; abatement /  curtailment /  retrenchment ; abatement ; adversity /  decay ; decay

abaisser ; cry down /  cut up /  demolish /  pull to pieces /  run down /  write down ; abase ; decrease /  lower ; lower ; decrease /  lower ; abate /  abridge /  decrease /  lessen ; destroy /  ruin ; reduce ; draw /  make a stroke

abandon ; abandonment ; isolation /  separation ; acquiescence /  rezignation ; cession /  relinquishment /  renunciation /  surrender ; abandonment

abandonner ; cede /  give in /  give up /  give way /  relinquish /  yield ; abandon /  forsake /  desert /  leave /  quit ; abandon /  give up /  resign /  renounce

abandonné ; abandoned ; helpless

abaque ; abacus ; abacus /  ball‐frame /  counting‐frame ; abacus

abasourdir ; puzzle ; alarm /  appal /  dismay /  puzzle

abasourdissement ; alarm /  consternation

abat‐jour ; lamp‐shade

abats ; offal

abattage ; overthrow /  subversion ; courage

abattant ; valve

abattement ; apathy ; demand /  sale ; alarm /  consternation ; grief /  sadness /  sorrow ; melancholy

abattis ; debris /  rubbish /  rubble

abattoir ; abattoir /  slaughterhouse

abattre ; butcher /  slaughter ; cut off ; depress ; dig up /  excavate /  grub ; drop /  overthrow ; abase ; weaken ; break down /  demolish /  pull down /  take down ; kill /  liquidate /  slay  / shootdead

abbatial ; abbatial

abbaye ; abbey

abbesse ; abbess

abbé ; abbot ; clergyman ; clergyman /  pastor /  priest

abc ; ABC

abcès ; abscess

abdication ; abdication ; abandonment

abdiquer ; abdication ; cede /  give in /  give up /  give way /  relinquish /  yield ; abandon ; submit

abdomen ; abdomen

abdominal ; abdominal

abducteur ; abductor

abeille ; bee

aberrant ; aberrant ; crazy /  insane /  mad /  nuts ; abnormal ; absurd

aberration ; craziness /  insanity /  lunacy /  madness

abhorrer ; abhor /  abominate /  loathe

abiogenèse ; abiogenesis

abject ; abhorrent /  abominable /  alien /  awful /  hideous /  horrible /  gruesome ; nasty ; abject ; abandoned /  nasty ; abject /  base /  low /  nasty /  vile

abjection ; abjection

abjuration ; abjuration ; abjuration /  renunciation

abjurer ; abjure /  abnegate ; abjure /  forswear /  swear off /  renounce

abkhasien ; Abkhazian

ablatif ; ablative

abnégacion ; abnegation

abnégation ; abnegation

abois ; agony /  death throes

abolir ; abolish /  abrogate

abolition ; abolition /  abrogation

abolitionniste ; abolitionist

abominable ; abhorrent /  abominable /  alien /  awful /  hideous /  horrible /  gruesome

abomination ; abomination ; abhorrence /  abomination /  atrocity /  horror ; abhorrence /  abomination /  horror

abominer ; abhor /  abominate /  loathe

abondamment ; abundantly ; in detail

abondance ; abundance ; abundance /  plenty ; abundance

abondant ; abundant

abonder ; abound

abonnement ; subscription

abonné ; subscriber

abord ; acceptance /  admission ; approach ; access /  admission /  admittance ; acquaintance ; relation /  understanding ; acquaintance ; approach ; encounter

abordable ; accessible ; approachable /  communicative /  get‐at‐able ; moderate /  reasonable

